_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
fypRAXH4raqEfSZHG;1490279428334;teacher begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
KwrchRvEKdBzvXGMK;1490279447008;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
wMQeRJQE22XTZgkFx;1490279447347;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
obkaLpTaudDnaNKh8;1490279447695;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
S7ayADoySnrFuCSoQ;1490279448111;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
GQP6nYDhGzrG4TdKF;1490279448496;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
oAnrwyTDpY8Hr4nth;1490279448965;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
Fsn9FfnW6tZvXEckj;1490279449397;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
ndtuHxo8JNrJgbYwM;1490279449830;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
mHFPWszCsSeNSuoxL;1490279450234;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
v69hrzSQ6qzhMTPvD;1490279450668;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
fGY8ADiYKErAREQdP;1490279451103;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
MYccmJDDyvH5JFhKf;1490279451572;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
abL2S6mqTX47fgh3Q;1490279452173;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
GjZ7KNR4PqRJiM98e;1490279452652;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
Rei5RYrRbynBXvSbx;1490279453136;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
5qWKhJcAvZkcBi56J;1490279453672;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
hRBCSo3PpdqCFS88W;1490279454137;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
ZtscbA8sdqgZoqBMC;1490279466955;Meaningless TA Question;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
ynoS5d4r85ztiBknT;1490279467385;teacher end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
F3HNQcwH2Jc9saLjo;1490279468033;student begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
uaYvPeDfQtkXJPpBS;1490279470752;student end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
bzLxjJjbvvm6wjrTT;1490279470890;teacher begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
WX8MCz72GQz6biXTx;1490279471621;First time student talks;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
myRJBYQtpoFf5KTpd;1490279474314;Students present;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
EEaTKn7cfxt5L23Du;1490279475125;First time student talks;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
vMBA7Eq4SwT8YHK7y;1490279475493;student begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
3tJwoAcEH6txN3ro6;1490279475626;teacher end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
YYRfZNQHrddbfZyCF;1490279475994;student end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
nrtiXcRdmxRK65GAJ;1490279476131;teacher begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
6o8HFTrovHnBuc2s2;1490279482897;student begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
BG6sG2QsuzJs6mBkP;1490279483022;teacher end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
r2Ajx5p3GJLqybFgA;1490279487968;teacher begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
8Tr3zWRKqEJaLCd3q;1490279488102;student end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
s4ipxX3kT5FHfrde9;1490279488705;teacher end talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
t7BtzjxgijqN4ZDsS;1490279490737;teacher begin talking;yNNXMTurRYxS4bFf7;Tuesday_10:30_3/23/17;2;false
