_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
4YN4ZFBGM2bGBqrdN;1490718600659;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
Wq5hSCFSoFL4SdBEP;1490718600859;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
6XoXcZCSs6EdFEDp9;1490718601042;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
npGLa4kg3HezykBtk;1490718601263;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
vTtA8uSD4RErDCLEc;1490718601443;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
3ydFinEA45nCHvcZQ;1490718601627;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
ZuCRX8SdmG6P3tNj6;1490718601844;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
m8mwKF4vnnixjvjLT;1490718602076;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
BiZtRi9weDCzfrKD9;1490718602447;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
RavTjfkmDfE8fN9sf;1490718602801;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
BudbMcYgavWk2nhZA;1490718615024;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
2RYJpu2r6mCzeeNPR;1490718718518;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
e2cwWAHatE3mifWT2;1490718719119;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
RFudbNgi7xudCkwHc;1490718720420;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
gCrHprWWzjfRsTZdt;1490718732611;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
EESwDhoSWXtbPGcTe;1490718763101;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
FMLBt4KSaYwLJP8Jj;1490718860612;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
YF3JjDhDB25XgpRcw;1490719025405;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
KTMvmgRTfELXSXNa4;1490719076371;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
byduLRkHbP46CSoo4;1490719080155;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
zpxZW3DAqphyjhw5j;1490719088095;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
uZ2croxddrNevARLs;1490719113495;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
AxhZe95wPAdscCYXt;1490719113949;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
72xvP7yQEbcb8r2Rr;1490719114196;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
P2bdEFC2uywmrCWLY;1490719114393;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
tEt3objK55HK6Hxww;1490719114709;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
reb8FdPXHeazGKC9E;1490719114797;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
jqrbBC33HjZJ59ycA;1490719122003;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
2uyBbQ8hS6Yo3k37v;1490719122287;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
CgtPAL4npnYpmk2y3;1490719122412;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
wuP7EcBhTc2QAhDPu;1490719122492;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
dqkWJRTM5wfQRiHy7;1490719122492;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
gm8mEoYLQdtdNFwwj;1490719123405;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
oLFA2Q4TYHexczbg6;1490719123858;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
mt7EJNJf9QoGeTMzQ;1490719124002;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
JQK2RxDGwdmLMMXx7;1490719167732;Hand raised;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
LYrMLBG43ccBeCWfg;1490719387628;Students present;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
edFzCmbg7hoG5ctGM;1490719387872;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
CECqbajpFHeGn63j8;1490719389806;Not bad TA Question;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
jcao9YmGgokm9vJay;1490719391709;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
kQQ4HBnRTSoCeszz9;1490719395601;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
ttsW8orCo3XzMXY7N;1490719397329;Not bad TA Question;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
oRZ89rPPjhdpfMrMR;1490719410200;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
6Y9Sis52GCSKTBZ9v;1490719413979;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
5PTuFPpvaW6LWAoTw;1490719414621;Ice cold call;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
CPcQawpRwZmptcQRp;1490719416932;Not bad TA Question;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
ju8Mnix856XrQGfeZ;1490719419690;student begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
sszvGwwBu49e2psLS;1490719422494;student end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
Korcf4buL8Y5vE92R;1490719425934;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
NZJPB7Q7yS2mvtW8S;1490719426804;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
3vboDYEvRzQYCE8Eu;1490719427041;Not bad TA Question;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
J38wLN76JN5aEgEca;1490719428976;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
BCCkEkun8qTu4RAni;1490719652965;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
mJkszYNLFFoo9DjCB;1490719654132;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
bHtTmppHq2Ft2NY2B;1490719879953;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
E6C7TtasEtXWFuugJ;1490719880119;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
PJTb9426rMsMchgc9;1490720120200;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
HarYfHSZLh7PDWnJW;1490720121566;Meaningless TA Question;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
DsggjSBCCeAbDJqF3;1490720124139;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
pLRW4e6nCWPbwnh8v;1490720151156;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
mjJLAJvbENtFCP9RC;1490720152437;student begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
HPfRp35GhYpTqyC3o;1490720156546;First time student talks;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
YbjuMXaByHD8WfYMb;1490720157314;First time student talks;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
75mCnf9c837MDc2ze;1490720159720;student end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
bvhqA9eXmbhszjjEx;1490720159841;student begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
RHTeQuzJkvguvDd7X;1490720159841;student end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
CukaFSMBovRSQ7J3g;1490720160452;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
6ZiFMQvpdkAYCDs2F;1490720190692;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
zF3wLFcLE7sy3WN4J;1490720190830;student begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
w6cg34GwQGt2cCSzg;1490720192410;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
8puiRhhx6nJM8H4AG;1490720192545;student end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
Ng9T7NvS5cgZiu5g5;1490720193729;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
vKqFPcc7KnbnsFdQa;1490720194134;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
RLFEQ5bLBvWBLjk8p;1490720215071;teacher end talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
4ZrG6KgPhytTQctNx;1490720215213;student begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
k8KKDHMZeLNrdYKkX;1490720215217;teacher begin talking;Lt5RcK7ducyjf7CXb;12:30 18202;2;false
