_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
uwCzSKCKQQEsZLE6j;1491920973051;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
MSQAdgZHPFdxMLKyr;1491920976087;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
Je8G58PSsLEE4JB2Y;1491920989174;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
ixn873Ba7uNbdtH8C;1491920989510;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
MgKjQd9qyxv2uCMxt;1491920989878;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
h3inN3BWXXq4ydPRZ;1491920990258;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
Z57FCxLxZDfgf9JHx;1491920990774;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
fuCZdbFkuoYFvqvAA;1491920991206;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
iZzXQECZPpj4F2ExF;1491920991639;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
BCjNRGBJAkidsjhxD;1491920992076;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
fduWDL6ZbEewYsQzP;1491920992476;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
Kb8vns3sTgLnR5xXH;1491920992960;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
Jwsox66xmzqyG6hXu;1491920993661;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
E3NnTbxhjqQvwnfhE;1491920994294;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
GmcYNMhfr6yjacX8u;1491920994960;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
EoSiBPSWikGrsHRbH;1491920995642;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
fFPwLicBcwN5wNdB3;1491920996365;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
hKFi79zAmMnPfuC4P;1491920997327;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
pZTiPgSsLgLC6CiX4;1491921000549;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
kKwrZAvqiaYNRmbnL;1491921028666;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
mZm3QJwkWDWjdoY4e;1491921029034;Meaningless TA Question;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
sPAAWXNc9tzB23APd;1491921029038;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
vQKtH7Bt6RYn3NEB2;1491921035177;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
XYzrELStm7Lyqp7KB;1491921035531;student begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
JmBPchFFTvJjbPfWP;1491921037195;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
7CSr6hNK8FMZcbhRB;1491921037522;student end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
seG553cCjAu5cNaje;1491921048835;Meaningless TA Question;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
ZSgEK8nESEcSKGvCM;1491921049177;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
M7FwLZgLyDDLaHDjt;1491921049507;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
7jF7A2WF2pJAmhcMf;1491921068277;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
NoPHHewxmdkrMhs5u;1491921068633;student begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
v82MjKYwkAwkxnuNZ;1491921071395;Students present;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
7gnFe9QH7TKH3TZ4z;1491921071726;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
rc2KuK9t8KxgwqR5L;1491921071726;student end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
KTCnFcn2AEv8vFYHi;1491921072659;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
o6zwizWAWEYT5zvtR;1491921072996;student begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
D3qpxgDXJogPoKZaS;1491921075446;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
7RtWxtRd2PmNduPro;1491921075772;student end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
ZtBxSGxsHe3aEc2EM;1491921076766;student begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
7iwHm5zA2bSB4ZR2R;1491921077078;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
FnmLkAfAZT3PmcEj5;1491921077849;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
uZKsPPQEmWfausfC7;1491921078160;student end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
RKYdF5GpSq6uc2929;1491921082866;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
H3cKWoimcAw6fjYNq;1491921086373;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
YA69MpzXpRfTJs2rE;1491921087695;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
Yz37pa6HJDueYXdYa;1491921089013;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
b2EatGg9QbKGRMmNg;1491921196275;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
36RJ9haHrCtpnxQGv;1491921196897;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
hatXHeCrcx6x7GThc;1491921206941;Meaningless TA Question;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
EoEXmXNP22hC6c79v;1491921207387;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
dBFfe25i8sTEBbeQw;1491921207825;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
zmnGi2oFTXg2rpZQB;1491921211915;Meaningless TA Question;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
cAKJue6jvGiq4dxPa;1491921212281;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
REzjXhiQH7tdpDvTu;1491921212603;student begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
uqYzTKL8dGsXosu32;1491921212937;teacher begin talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
XJMywibPMbJ2AwaRw;1491921212941;student end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
t23KoaBR4baevxjjb;1491921245823;teacher end talking;DEcjEWBJN5fhPWMNo;Tuesday_10:30_4/11/17;2;false
