_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
wAB5L77SesEWkyDNy;1491928091844;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
5Jmtw7BWwEJCX9fE4;1491928092044;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
prTEX3Xsw3amdQRTK;1491928092228;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
WpQxnvyGDCAERuEXo;1491928092411;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
pz32KqbJrxtxzsoR7;1491928092614;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
RcjRBFJGJvsEYjK3v;1491928096928;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
9xXF8zDcbPZomSP8S;1491928097130;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
KzvYsE6CZoPyGu64K;1491928135142;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
HZSncWLmK6bwCzdtn;1491928166776;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
AKaSLK3tENNocTSmP;1491928202642;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
JRQPuKDZcuymyjEv5;1491928242473;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
FCoCjxCrAXTLx2B8W;1491928250038;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;true
dovH7DiNDem9YpbwS;1491928349685;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
MPDeMrRXiJZa79hgT;1491928372818;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
BzMHxqZab3PYMnvR2;1491928386084;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
qxeuYP2NbXQufQtKg;1491928436197;teacher begin talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
ksvZPZWNZnkYKCPPX;1491928454730;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
ym5zckCJmDdfPrRLx;1491928562588;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
3uSGhX7s3uoqfFJuZ;1491928563039;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
ksFyMxkiiirPxZLPK;1491928592524;teacher end talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
u4P6aFcdasnfPt4jw;1491928609588;teacher begin talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
xED2tt7Fo3ms4e35R;1491928623182;teacher end talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
kgBLtGGtoSpDAwCnG;1491928623433;teacher begin talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
88TmcddfGSpkgyd2L;1491928624586;Students present;YKsNvTEai5TBdsZWR;12:30 18202;2;false
a7WdMcd8vM2FnsZZ3;1491928624851;teacher end talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
m2wpGRsSTXexJndaR;1491928630256;teacher begin talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
5EiThcmHkrrYLQP6p;1491928631322;teacher end talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
qS5rdwpSoQSZJuskT;1491928631616;teacher begin talking;YKsNvTEai5TBdsZWR;12:30 18202;2;false
