_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
osj3osWErB3QutnRK;1493312112674;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
TtNtNHwe4govHcAne;1493312115378;Not bad TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
7ZXGmCDzqSYcYFFxn;1493312116205;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
Rbjuvos3XwcYs3sMN;1493312118552;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
wNHoRk4BPAWpwhW5N;1493312142844;Meaningless TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
D6j9KgmBrtmn7ksj9;1493312143324;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
vkFv23gu6X4zBckdS;1493312149873;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
DzEF4DNsJG89E5Svo;1493312201486;Not bad TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
SjA3JBYvstsdzQPMw;1493312696755;Meaningless TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
aFJNny5RsCMjW3Lqs;1493312845624;Not bad TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
rgdXZCsRotpbjeXKg;1493312846824;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
kvGKdhsZF6aCLqXjz;1493312849699;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
ZTemFEHm8NPtHAyYE;1493312874841;Not bad TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
gc2iKtKAM6kagsEkb;1493312888581;Not bad TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
qg8unfpDsQ8s7fGLt;1493312889776;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
D2o3R55GBNhhSZ9n7;1493312894601;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
RY5oQhaqtnYtCyLSY;1493312894962;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
jowpfwDe3vZXyXSai;1493312902670;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
TkQaHFiyiHP2qxrEA;1493312903094;Not bad TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
cjut88PtJwbazufgw;1493312903410;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
8iex7Gm2tjdpK8QDN;1493312908448;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
FXAtTdLNz3boBHNjB;1493313121175;Meaningless TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
bKG8dPbpywSmuydzK;1493313121586;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
etjLLAeh8BhWbf8Cf;1493313124934;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
4rxCrCmPa954TYP7A;1493313135050;Meaningless TA Question;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
wxLcyiZ3wc9tCPKwz;1493313135882;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
GG8QSTmCvYhptYs4P;1493313139369;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
XyaeBzirM2fzT5PX2;1493313151300;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
m8i5BaWNjEdsaSCy6;1493313151422;teacher begin talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
cpSM9sPgAoboPKZkB;1493313151728;teacher end talking;WnzLz4RF6jD8cqXME;HH1107TA3;2;false
