_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
jv6x52R9ni7oQHDyW;1499864414242;timing begin;W6H6YsJQgmtYtsJFe;;2;false
aw8EuBfNmg8pNaakY;1499864414759;timing end;W6H6YsJQgmtYtsJFe;;2;false
dhA22FgAfoTPxQeGo;1499864415367;teacher begin talking;W6H6YsJQgmtYtsJFe;;2;false
wactwMFjwpobhPCBT;1499864416592;teacher end talking;W6H6YsJQgmtYtsJFe;;2;false
4fXt32BHCfX79JSMq;1499864418059;teacher begin talking;W6H6YsJQgmtYtsJFe;;2;false
ZRk2B3CHxeeKxNg8D;1499864420003;Students present;W6H6YsJQgmtYtsJFe;;2;false
vsyc3zfN3JbWbsMJe;1499864420523;Students present;W6H6YsJQgmtYtsJFe;;2;false
i5GXwQ8kZifSqWqTd;1499864421048;Students present;W6H6YsJQgmtYtsJFe;;2;false
kecdZbLhW9XLDqQB6;1499864421072;Students present;W6H6YsJQgmtYtsJFe;;2;false
XGtQ7SEBFFCnjoAis;1499864421544;Students present;W6H6YsJQgmtYtsJFe;;2;false
SLc9TWjeREEQ55Cci;1499864421559;Students present;W6H6YsJQgmtYtsJFe;;2;false
REgWXPd2PkFvPnTr4;1499864421563;teacher end talking;W6H6YsJQgmtYtsJFe;;2;false
3FSg9viiexutcAjxD;1499864422511;Students present;W6H6YsJQgmtYtsJFe;;2;false
xDj8xZDr24azky3vG;1499864423011;Students present;W6H6YsJQgmtYtsJFe;;2;false
6op2Toqarp7LvypiS;1499864423955;Students present;W6H6YsJQgmtYtsJFe;;2;false
2JuYWwPzDkmr9HKtL;1499864424464;Students present;W6H6YsJQgmtYtsJFe;;2;false
NxWSd28NJaczcuviE;1499864424971;Students present;W6H6YsJQgmtYtsJFe;;2;false
27RRrrX9rgZohe2n2;1499864424978;Students present;W6H6YsJQgmtYtsJFe;;2;false
s8RFuQziyL4qumhHb;1499864425458;Students present;W6H6YsJQgmtYtsJFe;;2;false
3W5Z3bRvoLkpDCSDi;1499864425945;Students present;W6H6YsJQgmtYtsJFe;;2;false
ypjbEMw7SFp4PHxnE;1499864425950;Students present;W6H6YsJQgmtYtsJFe;;2;false
8GECQyqoY4RA7azJb;1499864426450;Students present;W6H6YsJQgmtYtsJFe;;2;false
45tPnc5Pts5QxKfNy;1499864427536;teacher begin talking;W6H6YsJQgmtYtsJFe;;2;false
CEXWhWFGdc3KyhjFo;1499864438265;teacher end talking;W6H6YsJQgmtYtsJFe;;2;false
