_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
uDFvaGuC4vqWYdKNJ;1499864409834;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
dFhBLryGLAAdWCyBa;1499864412251;student begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
HdBrxkpLHiP7aub4r;1499864412768;Meaningless TA Question;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
JLsc23SLHAurhkANh;1499864412958;student end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
rZNGvESJhGrwXZ9tG;1499864412960;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
qtBZHFMsi6Kw7GrRs;1499864414196;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
ZGx35ouJ9M9hgPN2k;1499864428600;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
qBRB6CJZuNRFaPw33;1499864431165;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
8gqXuXJvGoeGsaXoP;1499864431756;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
9YkGPy4TxGhrjp8mf;1499864442014;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
PtiqjMZjSykQ7Fa6F;1499864467607;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
zfB3qdYepBZTXE9QJ;1499864471785;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
NNM45sPu9nRwK5nBC;1499864471981;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
7ftgvxEZWiSjTB5mQ;1499864472185;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
qS3gQuua6vuQJfLRy;1499864472390;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
qq8DQi96BZJs4nCKC;1499864473702;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
wXLcngFC7NaDYurg3;1499864473890;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
RwJrKswg9B2WBviyb;1499864474091;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
Pfwq7LJm9DgH8yvCo;1499864474286;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
FJ7k5cjWmbycWiwF9;1499864475384;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;true
KDRwuahWAdDdHm5P8;1499864475574;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;true
B6PcZ9sQhH8gAbixa;1499864502062;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
DErRTRyQ6h4RXG75c;1499864507787;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
pzMWp8FxpfZqX7zy6;1499864509973;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
sTjYE8ZZ6i3wRtpsg;1499864513005;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
kDmpTS4d5xR9uMbE7;1499864514703;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
RnnHcg2GaKtPwXyJS;1499864515868;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
etfgotWxid8XBJTsu;1499864516246;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
KTDMxgpSgPFXeyhmq;1499864516626;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
855vZpGzYGDqq43kq;1499864518101;Students present;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
nxRtZuGPwHu7c8AiG;1499864523723;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
9EBjJ78HxKBTmmKRB;1499864537294;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
SqTZbNxsbgXQ5TEgm;1499864545242;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
XHmD99jqq5EbyooqF;1499864546375;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
qTLvLTnDZgKwZT5xL;1499864546611;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
uCsgzmxFw7zagoexk;1499864555849;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
X6M5FTSRXfQ9am3q9;1499864558539;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
vDywic2czrkz3hwzu;1499864559495;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
cafSraSB738vA7jGk;1499864579517;teacher end talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
6D3ECedWpixJSiLtB;1499864579764;teacher begin talking;3wEb8kMxfLEiStWKw;20170712_0900_21259_Yellina;2;false
