_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
9mSM3Fy5fScyRLb2C;1501506082659;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
tsKsG3nhjg3BJzEi9;1501506090808;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
gt3afGnsW9xpZcvmt;1501506091280;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
GESHwPmYmE2uwNFwd;1501506091495;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
Hj3HELpoEY32NtbDn;1501506091736;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
xtauHbKvZS4kMqZRT;1501506091951;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
QPJJqH6CwzdpM233v;1501506092128;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
Yyp6bJaEaDW3jAkqk;1501506092276;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
Bj9jpguj88K2zutPN;1501506092440;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
4yWT2NP76JwTPp7iL;1501506092585;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
ocYhAykZbQdP3cjWX;1501506092729;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
Sx5h4Hyp8Z5k5BR4W;1501506092928;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
MxLdvsx6yFQvTeYQH;1501506093072;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
XEuErFE8QXz6rnNqC;1501506093218;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
v2xXK8MScByZthD7z;1501506093363;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
3NgStyG9vFkbXTqzc;1501506093526;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
LRHszCJ7sC9rSsoF6;1501506093736;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
vJbSnWgqkTiwifBXg;1501506093878;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
dmubkqLFA4ySyH38j;1501506094095;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
bgXJ8cLw3Z5QJasKB;1501506094287;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
YTd9FXMZvwDjqyPGy;1501506094783;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
8de2qNxFEw7zFEodM;1501506095807;Students present;z2GoaELQ5nLQRx7y8;21127;2;true
DoBhcPoxZMoRmpyWB;1501506113406;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
tjSvj4ZPZje92P8r7;1501506116251;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
xYeDf4RJguFc8P5NC;1501506118543;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
taYaGdvf66YANTMxX;1501506119615;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
MXDXoTPSAg8syoFL4;1501506126431;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
AkGhbYpz2kCqdLmgn;1501506152711;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
PjuoZTF5iXpHb48KL;1501506154107;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
EZiyaQpLuEnYdeWDP;1501506176881;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
E549wP3cxLNrg26xw;1501506179703;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
sbSNFPPuLrR4yzhna;1501506183545;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
RAHgMdb8axHh4XHb6;1501506187695;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
9f6iBy3XhJFE5fkST;1501506190842;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
Kbs48ety2Yoeb7HBi;1501506201703;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
npZdBSpuGF3twjpit;1501506202239;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
vpKFSBjKPrzazLbBu;1501506227408;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
ZBCsDuWyPNef9WLrM;1501506228119;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
zZTGKpT7wjE9orJto;1501506244087;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
5ne7CCTAGwLdkwHgg;1501506245866;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
SgsYxFZCnkCxdQ4j6;1501506268865;Students present;z2GoaELQ5nLQRx7y8;21127;2;false
JqN72ukkRw5ubwr8h;1501506277792;teacher end talking;z2GoaELQ5nLQRx7y8;21127;2;false
44XZfzp6HBtvmD89h;1501506279444;teacher begin talking;z2GoaELQ5nLQRx7y8;21127;2;false
